player,kill_per_round,death_per_round,KD_ratio,acs,entry_success_rate,entry_diff,first_kills,clutch_per_round,clutch_weight,multikill_score,util_score,assists,defuses,plants,econ_rating,eco_rounds_pct,full_buy_pct,hs_pct,kast_pct,win_rate,n_maps_played,cluster_raw,cluster,archetype,is_outlier,pca1,pca2,tsne1,tsne2
Zero1,0.690316099962839,0.6377218041620216,1.1899125384419502,189.25,0.5,0.0,2.0,0.0,0.0,0.0,0.0,11.125,0.0,0.0,0.0,0.0,0.0,27.0,72.0,0.5,8,0,0,⚔️ Entry Fragger,False,-6.087487518691763,0.6296937785064345,-35.011894,2.9827697
ZesBeeW,0.5209056218007625,0.7668829323560782,0.7374859943977591,151.4,0.27416666666666667,-1.8,1.6,0.029621848739495797,0.6,3.6,0.8,6.1,0.2,0.6,37.7,0.12660425500898648,0.0,24.5,63.1,0.3,10,1,1,🧠 Strategic IGL/Support,True,-0.11093386424125629,-3.6968064172335184,-1.4880453,-12.510578
Zest,0.6220961460537783,0.6829094121907757,0.9828851778155183,176.3108108108108,0.4344111969111969,-0.47297297297297297,1.3243243243243243,0.036484743486863556,0.7432432432432432,4.04054054054054,2.6486486486486487,6.364864864864865,0.36486486486486486,2.2837837837837838,48.2972972972973,0.1561969752397468,0.0,32.08108108108108,70.01351351351352,0.4189189189189189,74,1,1,🧠 Strategic IGL/Support,False,1.8227463951997247,-1.3245449844481725,-1.5600352,-3.1466377
Zexy,0.8332389975267549,0.8011867820077202,1.0659409986083748,236.75,0.6033549783549783,1.25,5.0,0.015789473684210527,0.375,6.75,0.75,3.25,0.5,0.25,57.0,0.1288748468668377,0.0,27.125,66.125,0.25,8,1,1,🧠 Strategic IGL/Support,True,1.5027802138785629,4.405322301383498,23.296183,-2.399728
ZmjjKK,0.905658623555207,0.748909026842866,1.2731966233876726,255.6983122362869,0.5142504354529671,0.3333333333333333,4.215189873417722,0.005875785669605987,0.12236286919831224,2.691983122362869,0.25738396624472576,4.29535864978903,0.08438818565400844,0.1729957805907173,20.50210970464135,0.049879792667018065,0.0,22.91561181434599,68.47257383966245,0.5949367088607594,237,0,0,⚔️ Entry Fragger,True,-3.244168866424394,3.8348429087315656,-40.734066,7.501877
Zoomer,0.7042595104750173,0.6701081092932284,1.1482468154802714,190.9375,0.5678571428571428,0.6875,1.875,0.011025923050379572,0.25,2.875,1.625,7.5,0.1875,1.4375,29.3125,0.0719007415219052,0.0,29.5625,76.0625,0.5,16,0,0,⚔️ Entry Fragger,True,-1.9454902448996578,1.4196557495695976,-11.105704,4.6566157
ZynX,0.7409798751279925,0.7672012406150123,1.0316796169535434,209.8181818181818,0.45995670995670995,-0.2727272727272727,3.090909090909091,0.006524575902566333,0.18181818181818182,6.818181818181818,0.9090909090909091,4.7272727272727275,0.36363636363636365,0.5454545454545454,48.54545454545455,0.14345639971290064,0.0,34.81818181818182,64.0,0.36363636363636365,11,1,1,🧠 Strategic IGL/Support,True,1.1627242747955582,1.2381855057734066,16.888992,-4.8023014
Zyppan,0.689580971878642,0.7173297621367218,1.0189388569982307,197.34453781512605,0.48600771310855345,-0.06722689075630252,2.1260504201680672,0.010570554787842593,0.23529411764705882,4.840336134453781,2.764705882352941,7.336134453781512,0.4957983193277311,2.26890756302521,52.15126050420168,0.14516992540626075,0.0,31.49579831932773,72.04201680672269,0.4789915966386555,119,1,1,🧠 Strategic IGL/Support,False,1.4920512103191848,0.2653803169085163,2.749954,3.4634185
adverso,0.6069282588677735,0.7257702023501593,0.8753494431661852,178.84615384615384,0.42304639804639804,-0.4358974358974359,1.2820512820512822,0.03643466360896495,0.6923076923076923,3.3333333333333335,1.6923076923076923,5.358974358974359,0.5641025641025641,1.1282051282051282,50.05128205128205,0.1558995738557125,0.0,20.205128205128204,68.94871794871794,0.41025641025641024,39,1,1,🧠 Strategic IGL/Support,True,1.656536832935969,-1.449337913006096,-0.96242696,-5.781082
al0rante,0.8117983927127149,0.7723076493696699,1.078270207604573,226.75,0.3958333333333333,-0.75,1.25,0.0125,0.25,6.875,0.875,4.375,0.125,0.75,56.75,0.1671980442121107,0.0,44.375,68.625,0.25,8,1,1,🧠 Strategic IGL/Support,True,1.9506773064115353,0.7635391556407835,14.017597,-3.422296
alexiiik,0.7721186663772857,0.7059162144161002,1.1599841858086575,210.47826086956522,0.4777764506025376,-0.13043478260869565,3.260869565217391,0.005615942028985506,0.13043478260869565,5.6521739130434785,0.7391304347826086,2.869565217391304,0.391304347826087,0.34782608695652173,53.52173913043478,0.14847553932148969,0.0,28.47826086956522,67.82608695652173,0.5652173913043478,23,1,1,🧠 Strategic IGL/Support,False,1.2557861520741234,1.9521577279796207,18.674494,-3.6845322
alym,0.6653662797057991,0.7240101062341074,0.9760267123657216,190.73684210526315,0.545342522974102,0.15789473684210525,3.473684210526316,0.009493843303911953,0.21052631578947367,4.473684210526316,0.5263157894736842,4.631578947368421,0.3157894736842105,0.21052631578947367,44.63157894736842,0.1494632072661984,0.0,28.263157894736842,68.73684210526316,0.5789473684210527,19,1,1,🧠 Strategic IGL/Support,True,0.6387921074233872,1.2515588293462452,14.894463,-4.991545
ambitioN,0.6731905884669407,0.7206228031674199,0.979138167752158,189.80555555555554,0.44577182077182076,-0.3194444444444444,2.5,0.01535295194189673,0.3333333333333333,4.5,1.4583333333333333,4.041666666666667,0.4166666666666667,1.0416666666666667,48.666666666666664,0.13832951685679734,0.0,27.875,65.61111111111111,0.4722222222222222,72,1,1,🧠 Strategic IGL/Support,False,0.9210025070779129,0.02364061636213577,9.999299,-5.921304
ara,0.7389449315559828,0.7062530077907316,1.140945520194746,207.3,0.5371885521885521,0.6666666666666666,3.716666666666667,0.02537791466247517,0.5333333333333333,5.35,0.8666666666666667,3.066666666666667,0.55,0.31666666666666665,51.06666666666667,0.1396182205264013,0.0,28.066666666666666,69.18333333333334,0.5166666666666667,60,1,1,🧠 Strategic IGL/Support,False,1.4544787577986822,2.5503905833460303,19.646948,0.2242137
ardiis,0.7518336848858832,0.7047058769935989,1.1254032396077545,215.5631067961165,0.5432066046143716,0.7475728155339806,3.5533980582524274,0.019069795087324135,0.4174757281553398,5.466019417475728,1.1650485436893203,5.737864077669903,0.34951456310679613,0.8155339805825242,55.47572815533981,0.13832404652070301,0.0,20.553398058252426,72.4368932038835,0.5242718446601942,103,1,1,🧠 Strategic IGL/Support,False,1.397238436623327,2.643978036645408,18.730118,0.47780052
artzin,0.6575768401963348,0.7369275265151582,0.9461961235402545,192.54098360655738,0.42457260886941645,-0.639344262295082,2.3852459016393444,0.02008402449609262,0.4426229508196721,4.69672131147541,2.942622950819672,6.319672131147541,0.5245901639344263,2.418032786885246,49.450819672131146,0.1440891955095955,0.0,24.827868852459016,69.13934426229508,0.47540983606557374,122,1,1,🧠 Strategic IGL/Support,False,1.5639793237035828,-0.7557793184568005,2.1808476,-0.9969107
aspas,0.8657733734510554,0.6516096852353456,1.4492028948036675,239.27235772357724,0.5863074763989399,1.3130081300813008,3.796747967479675,0.022402951972265047,0.47560975609756095,6.678861788617886,0.8130081300813008,3.459349593495935,0.44308943089430897,0.3699186991869919,59.39837398373984,0.13748098159177513,0.0,27.134146341463413,75.05284552845528,0.5853658536585366,246,1,1,🧠 Strategic IGL/Support,True,1.9096534796421083,5.030717320919094,22.15382,2.6758358
audaz,0.6358906525573192,0.7489723239723239,0.9365871104777194,184.88888888888889,0.4801587301587301,0.3333333333333333,1.5555555555555556,0.01146384479717813,0.2222222222222222,4.222222222222222,1.4444444444444444,6.0,0.2222222222222222,1.2222222222222223,49.44444444444444,0.17176773843440507,0.0,42.55555555555556,72.33333333333333,0.3333333333333333,9,1,1,🧠 Strategic IGL/Support,True,1.4097092933345898,-0.026202989837889823,5.2080884,-4.3344984
axeddy,0.5511545383668146,0.7670882486526135,0.7447786131996659,169.11111111111111,0.21604938271604937,-1.7777777777777777,1.2222222222222223,0.026838432635534083,0.5555555555555556,3.2222222222222223,1.7777777777777777,6.444444444444445,0.3333333333333333,1.4444444444444444,42.55555555555556,0.15151904314308406,0.0,24.333333333333332,66.44444444444444,0.1111111111111111,9,1,1,🧠 Strategic IGL/Support,True,0.8356038278959261,-3.889546291631425,-1.4488293,-12.555703
baddyG,0.6854871197490854,0.7559336975897077,0.9486380158123856,192.0,0.47023809523809523,0.5,1.8571428571428572,0.03558696205755029,0.8571428571428571,4.571428571428571,1.2142857142857142,7.142857142857143,0.21428571428571427,1.0,46.214285714285715,0.17490940051910092,0.0,23.857142857142858,70.28571428571429,0.35714285714285715,14,1,1,🧠 Strategic IGL/Support,True,1.9190535249517193,0.18424015833984086,11.605752,0.59831893
baha,0.5470711386781433,0.7968372040111591,0.7102213309566251,158.75,0.3458333333333333,-0.875,1.25,0.02568922305764411,0.5,3.875,0.625,4.125,0.125,0.5,39.25,0.16069684959003844,0.0,32.375,57.75,0.25,8,1,1,🧠 Strategic IGL/Support,True,0.6641718678719479,-2.8706635220058363,2.0081155,-12.847824
balua,0.732319251834266,0.7232381468114434,1.0527357533265158,207.3469387755102,0.49387755102040815,0.02040816326530612,1.8775510204081634,0.0059893522626441875,0.14285714285714285,1.3877551020408163,0.3877551020408163,7.816326530612245,0.08163265306122448,0.30612244897959184,12.612244897959183,0.028846700474916977,0.0,23.612244897959183,78.83673469387755,0.42857142857142855,49,0,0,⚔️ Entry Fragger,False,-4.406062063043125,1.0551963000032263,-33.24063,5.598613
ban,0.6626441223961371,0.7255170120131611,0.9604483272441392,189.46521739130435,0.49814275096883787,0.05217391304347826,2.3043478260869565,0.019182400929315196,0.41739130434782606,4.591304347826087,1.3043478260869565,5.165217391304348,0.40869565217391307,0.8956521739130435,47.10434782608696,0.1432325300627401,0.0,30.391304347826086,67.94782608695652,0.43478260869565216,115,1,1,🧠 Strategic IGL/Support,False,1.0236013126720656,0.3414550948591142,10.16538,-3.945944
bang,0.6922162809916622,0.6581899808579125,1.1303399511210863,195.26288659793815,0.5115611192930781,-0.02577319587628866,1.8298969072164948,0.02128366269701494,0.4587628865979381,4.525773195876289,1.1649484536082475,7.407216494845361,0.28350515463917525,0.8814432989690721,48.86082474226804,0.14228455995664088,0.0,33.70103092783505,74.61340206185567,0.5309278350515464,194,1,1,🧠 Strategic IGL/Support,False,0.9879851154166746,0.8262146831582742,8.023131,6.0339046
