player,team,maps_played,avg_acs,avg_vlr,avg_kd,avg_impact,pred_impact,win_rate,avg_first_kills,avg_clutch,avg_hs,rank
pAura,BBL Esports,12,167.32142857142858,0.875,0.8479754834396033,3515866.0073692463,3.5135748e+06,0.39285714285714285,2.0714285714285716,0.023439103122006033,32.5,190
TENNN,ZETA DIVISION,17,201.7325581395349,0.9056976744186046,0.9666245158050724,3507297.912963602,3.5064295e+06,0.4418604651162791,2.697674418604651,0.02338198199248702,23.75581395348837,191
zander,100 Thieves,19,188.0,0.9557777777777777,1.0287380172287293,3498898.872892891,3.4972268e+06,0.5111111111111111,2.1555555555555554,0.023325988368614114,24.666666666666668,192
kamyk,Team Liquid,23,198.15873015873015,1.0166666666666666,1.0798615356220205,3494381.8064787495,3.4947905e+06,0.4603174603174603,1.6666666666666667,0.02329587436937013,29.88888888888889,193
Ethan,NRG,80,191.27403846153845,1.0309134615384616,1.0534582976635771,3485283.1898286226,3.485313e+06,0.5625,1.5673076923076923,0.02323521712476737,22.240384615384617,194
Medusa,DetonatioN FocusMe,12,183.13333333333333,0.8826666666666667,0.9125441851177146,3471583.8642494446,3.4727555e+06,0.26666666666666666,2.0,0.023143888649003738,31.533333333333335,195
Timotino,100 Thieves,8,218.7,0.925,1.0103776490313205,3472191.517950274,3.4698048e+06,0.55,4.25,0.023147939017504233,30.35,196
xms,Karmine Corp,14,165.8125,0.8775000000000001,0.8817134015103965,3460115.659542107,3.4601902e+06,0.28125,1.25,0.023067434210526316,30.59375,197
Victor,NRG,39,215.23958333333334,1.0383333333333333,1.1752126185994936,3460231.4741038866,3.4599678e+06,0.5520833333333334,2.84375,0.0230682051315296,23.28125,198
SkRossi,Global Esports,9,196.23529411764707,0.8773529411764707,0.9506272446265162,3457045.460551385,3.4545405e+06,0.47058823529411764,2.411764705882353,0.023046965821901882,23.970588235294116,199
starxo,KOI,38,181.67021276595744,0.9503191489361702,0.9640806759038788,3438388.555599761,3.4376665e+06,0.425531914893617,1.4680851063829787,0.02292258650515754,23.4468085106383,200
Sayf,Team Vitality,57,219.4625850340136,1.0954761904761905,1.2333527522442929,3407132.1877866155,3.4107158e+06,0.5170068027210885,2.748299319727891,0.022714209762089554,26.132653061224488,201
Wild0reoo,Team Secret,17,180.22222222222223,0.8686666666666666,0.892564905949839,3407259.5212232475,3.4086088e+06,0.4,1.7555555555555555,0.022715059718469776,31.488888888888887,202
lukxo,LOUD,11,233.75862068965517,1.1086206896551725,1.2132576576715575,3382154.2867143494,3.381902e+06,0.27586206896551724,3.2413793103448274,0.022547690217144964,32.48275862068966,203
aspas,MIBR,90,239.27235772357724,1.1979268292682927,1.4492028948036675,3360443.6146197757,3.3608162e+06,0.5853658536585366,3.796747967479675,0.022402951972265047,27.134146341463413,204
cortezia,MIBR,32,190.89743589743588,0.9502564102564103,1.0822962834562817,3354294.872929805,3.356466e+06,0.5,1.9487179487179487,0.022361961555105368,35.03846153846154,205
